Function,Count,Inclusive time (ms),Inclusive time %,Exclusive time (ms),Exclusive time %,Avg time (ms),Max time (ms),Min time (ms),Function type,URL,Line number,Worker Id
isValidScale,640,2.00,0.03,2.00,0.03,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"16,466",0
Array.isArray,"20,310",2.00,0.03,2.00,0.03,0.00,1.00,0.00,Built-in,,0,0
d3.round,"3,942",2.00,0.03,2.00,0.03,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"2,728",0
exports.getComponentMethod,292,2.00,0.03,2.00,0.03,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"49,097",0
exports.sorterAsc,"28,064",2.00,0.03,2.00,0.03,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"29,220",0
attrFunction,191,2.00,0.03,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,209",0
handleXYDefaults,160,2.00,0.03,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"55,045",0
plots.autoMargin,268,2.00,0.03,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"46,353",0
autoTickRound,64,2.00,0.03,1.00,0.02,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,837",0
exports.valObjects.info_array.coerceFunction,64,2.00,0.03,1.00,0.02,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,505",0
drawing.textPointStyle,330,2.00,0.03,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"17,360",0
ax.setScale,162,2.00,0.03,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,364",0
handleTickValueDefaults,32,2.00,0.03,1.00,0.02,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,688",0
setOffsetAndWidthInGroupMode,16,2.00,0.03,0.00,0.00,0.13,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"50,637",0
coerce,159,2.00,0.03,0.00,0.00,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"19,283",0
expandMargin,34,2.00,0.03,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"19,989",0
styleFunction,490,2.00,0.03,0.00,0.00,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,294",0
plots.linkSubplots,16,2.00,0.03,0.00,0.00,0.13,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"45,769",0
draw,32,2.00,0.03,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"23,114",0
d3_selectionPrototype.insert,36,2.00,0.03,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,357",0
Anonymous function,51,2.00,0.03,0.00,0.00,0.04,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,502",0
onRemove,330,2.00,0.03,0.00,0.00,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,621",0
autoType,2,2.00,0.03,0.00,0.00,1.00,1.00,1.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,282",0
setAutoType,2,2.00,0.03,0.00,0.00,1.00,1.00,1.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,487",0
exports.coerce2,132,2.00,0.03,0.00,0.00,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"26,584",0
handleTickDefaults,32,2.00,0.03,0.00,0.00,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"41,658",0
handleArrayContainerDefaults,80,1.01,0.02,1.01,0.02,0.01,1.01,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"34,858",0
exports.extendFlat,42,1.01,0.02,0.00,0.00,0.02,1.01,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,062",0
expandToVisible,"15,000",1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"50,376",0
Anonymous function,160,1.00,0.02,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"18,514",0
String.indexOf,283,1.00,0.02,1.00,0.02,0.00,1.00,0.00,Built-in,,0,0
getAxisLetter,32,1.00,0.02,1.00,0.02,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"51,002",0
contains,"1,088",1.00,0.02,1.00,0.02,0.00,1.00,0.00,DOM,,0,0
width,"1,632",1.00,0.02,1.00,0.02,0.00,1.00,0.00,DOM,,0,0
left,"4,797",1.00,0.02,1.00,0.02,0.00,1.00,0.00,DOM,,0,0
bottom,"1,599",1.00,0.02,1.00,0.02,0.00,1.00,0.00,DOM,,0,0
onmousemove,416,1.00,0.02,1.00,0.02,0.00,1.00,0.00,DOM,,0,0
JSON.stringify,145,1.00,0.02,1.00,0.02,0.01,1.00,0.00,Built-in,,0,0
onclick,64,1.00,0.02,1.00,0.02,0.02,1.00,0.00,DOM,,0,0
data,15,1.00,0.02,1.00,0.02,0.07,1.00,0.00,DOM,,0,0
exports.getGraphDiv,32,1.00,0.02,1.00,0.02,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"29,979",0
Array.push,"7,223",1.00,0.02,1.00,0.02,0.00,1.00,0.00,Built-in,,0,0
fulfill,67,1.00,0.02,1.00,0.02,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"10,435",0
addOneItem,330,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"20,068",0
isNaN,"10,863",1.00,0.02,1.00,0.02,0.00,1.00,0.00,Built-in,,0,0
get,292,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,858,0
d3_selection,391,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,098",0
d3_selectAll,41,1.00,0.02,1.00,0.02,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,104",0
d3_collapse,102,1.00,0.02,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,219",0
plots.cleanPlot,17,1.00,0.02,1.00,0.02,0.06,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"45,677",0
parseIntFromHex,42,1.00,0.02,1.00,0.02,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"12,857",0
d3_selection_creator,950,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,347",0
update.exit,819,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,447",0
Anonymous function,"1,282",1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"46,414",0
Anonymous function,150,1.00,0.02,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,132",0
axes.doAutoRange,32,1.00,0.02,1.00,0.02,0.03,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,313",0
d3_selectionPrototype.empty,497,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,519",0
axes.autoTicks,64,1.00,0.02,1.00,0.02,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,745",0
axes.tickFirst,64,1.00,0.02,1.00,0.02,0.02,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"35,934",0
numFormat,161,1.00,0.02,1.00,0.02,0.01,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,209",0
datafn,"2,041",1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,567",0
clipEnds,943,1.00,0.02,1.00,0.02,0.00,1.00,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,629",0
